trr_id,weapon_type,object_struck_of_discharge
94,SEMI-AUTO PISTOL,OBJECT
335,SEMI-AUTO PISTOL,PERSON
336,REVOLVER,PERSON
337,SEMI-AUTO PISTOL,PERSON
684,SEMI-AUTO PISTOL,OBJECT
705,SEMI-AUTO PISTOL,UNKNOWN
802,SEMI-AUTO PISTOL,PERSON
1285,SEMI-AUTO PISTOL,OBJECT
1296,SEMI-AUTO PISTOL,UNKNOWN
1637,SEMI-AUTO PISTOL,OBJECT
1671,REVOLVER,OBJECT
1752,SEMI-AUTO PISTOL,OBJECT
1806,SEMI-AUTO PISTOL,UNKNOWN
1861,SEMI-AUTO PISTOL,PERSON
1886,SEMI-AUTO PISTOL,PERSON
1887,SEMI-AUTO PISTOL,PERSON
1888,SEMI-AUTO PISTOL,PERSON
1889,SEMI-AUTO PISTOL,PERSON
1890,SEMI-AUTO PISTOL,PERSON
2087,SEMI-AUTO PISTOL,PERSON
2088,SEMI-AUTO PISTOL,PERSON
2144,SEMI-AUTO PISTOL,PERSON
2266,SEMI-AUTO PISTOL,BOTH
2470,SEMI-AUTO PISTOL,OBJECT
2471,SEMI-AUTO PISTOL,OBJECT
2529,SEMI-AUTO PISTOL,PERSON
2637,SEMI-AUTO PISTOL,OBJECT
2638,SEMI-AUTO PISTOL,UNKNOWN
2639,SEMI-AUTO PISTOL,UNKNOWN
2724,REVOLVER,UNKNOWN
3098,REVOLVER,UNKNOWN
3264,SEMI-AUTO PISTOL,PERSON
3265,SEMI-AUTO PISTOL,PERSON
3266,SEMI-AUTO PISTOL,PERSON
3267,SEMI-AUTO PISTOL,PERSON
3401,SEMI-AUTO PISTOL,OBJECT
3402,SEMI-AUTO PISTOL,OBJECT
3518,SEMI-AUTO PISTOL,PERSON
3550,SEMI-AUTO PISTOL,OBJECT
3600,SEMI-AUTO PISTOL,OBJECT
3726,SEMI-AUTO PISTOL,UNKNOWN
3730,SEMI-AUTO PISTOL,UNKNOWN
3731,SEMI-AUTO PISTOL,UNKNOWN
3759,SEMI-AUTO PISTOL,PERSON
3845,SEMI-AUTO PISTOL,PERSON
4110,SEMI-AUTO PISTOL,PERSON
4151,SEMI-AUTO PISTOL,UNKNOWN
4313,REVOLVER,UNKNOWN
4338,SEMI-AUTO PISTOL,PERSON
4370,SEMI-AUTO PISTOL,UNKNOWN
4527,SEMI-AUTO PISTOL,UNKNOWN
4572,SEMI-AUTO PISTOL,UNKNOWN
4704,SEMI-AUTO PISTOL,UNKNOWN
4765,SEMI-AUTO PISTOL,PERSON
4769,REVOLVER,PERSON
4830,SEMI-AUTO PISTOL,PERSON
4915,SEMI-AUTO PISTOL,OBJECT
4917,SEMI-AUTO PISTOL,OBJECT
4922,SEMI-AUTO PISTOL,OBJECT
4992,SEMI-AUTO PISTOL,PERSON
4994,SEMI-AUTO PISTOL,PERSON
4995,SEMI-AUTO PISTOL,UNKNOWN
5165,SEMI-AUTO PISTOL,UNKNOWN
5311,SEMI-AUTO PISTOL,UNKNOWN
5312,SEMI-AUTO PISTOL,UNKNOWN
5315,SEMI-AUTO PISTOL,UNKNOWN
5316,SEMI-AUTO PISTOL,UNKNOWN
5436,SEMI-AUTO PISTOL,PERSON
5437,SEMI-AUTO PISTOL,PERSON
5438,SEMI-AUTO PISTOL,PERSON
5448,SEMI-AUTO PISTOL,PERSON
5472,REVOLVER,UNKNOWN
5472,SEMI-AUTO PISTOL,UNKNOWN
5473,SEMI-AUTO PISTOL,UNKNOWN
5627,SEMI-AUTO PISTOL,UNKNOWN
5658,SEMI-AUTO PISTOL,UNKNOWN
5700,REVOLVER,OBJECT
5851,SEMI-AUTO PISTOL,OBJECT
6017,SEMI-AUTO PISTOL,OBJECT
6021,SEMI-AUTO PISTOL,OBJECT
6056,SEMI-AUTO PISTOL,OBJECT
6152,SEMI-AUTO PISTOL,OBJECT
6162,SEMI-AUTO PISTOL,PERSON
6195,REVOLVER,PERSON
6241,SEMI-AUTO PISTOL,PERSON
6242,SEMI-AUTO PISTOL,UNKNOWN
6717,SEMI-AUTO PISTOL,UNKNOWN
6762,SEMI-AUTO PISTOL,PERSON
6763,SEMI-AUTO PISTOL,PERSON
6764,SEMI-AUTO PISTOL,UNKNOWN
6811,SEMI-AUTO PISTOL,UNKNOWN
6850,SEMI-AUTO PISTOL,PERSON
7229,SEMI-AUTO PISTOL,UNKNOWN
7232,SEMI-AUTO PISTOL,OBJECT
7369,SEMI-AUTO PISTOL,PERSON
7562,SEMI-AUTO PISTOL,UNKNOWN
7782,SEMI-AUTO PISTOL,UNKNOWN
7817,SEMI-AUTO PISTOL,OBJECT
7868,SEMI-AUTO PISTOL,UNKNOWN
7888,SEMI-AUTO PISTOL,OBJECT
