trr_id,weapon_type,firearm_caliber,weapon_description
17,OTHER (SPECIFY),,SCREWDRIVER
19,HANDS/FISTS,,
28,HANDS/FISTS,,
30,HANDS/FISTS,,
34,HANDS/FISTS,,
34,VERBAL THREAT (ASSAULT),,
37,VERBAL THREAT (ASSAULT),,
38,FEET,,
38,VERBAL THREAT (ASSAULT),,
39,HANDS/FISTS,,
42,OTHER (SPECIFY),,ELBOWED
55,FEET,,
55,HANDS/FISTS,,
55,VERBAL THREAT (ASSAULT),,
57,HANDS/FISTS,,
57,VERBAL THREAT (ASSAULT),,
58,FEET,,
58,HANDS/FISTS,,
58,VERBAL THREAT (ASSAULT),,
75,FEET,,
82,HANDS/FISTS,,
82,OTHER (SPECIFY),,PUNCHED OFFICER
83,FIREARM - SEMI-AUTOMATIC,OTHER,
84,FIREARM - SEMI-AUTOMATIC,40 S&W,
85,FIREARM - SEMI-AUTOMATIC,40 S&W,
94,OTHER (SPECIFY),,DOG
94,OTHER (SPECIFY),,DOG ATTACK
100,HANDS/FISTS,,
101,FEET,,
101,HANDS/FISTS,,
110,"MOUTH (SPIT,BITE,ETC)",,
118,KNIFE/OTHER CUTTING INSTRUMENT,,
119,KNIFE/OTHER CUTTING INSTRUMENT,,
124,VERBAL THREAT (ASSAULT),,
125,HANDS/FISTS,,
125,VERBAL THREAT (ASSAULT),,
149,HANDS/FISTS,,
154,FEET,,
154,HANDS/FISTS,,
155,FEET,,
155,HANDS/FISTS,,
157,"MOUTH (SPIT,BITE,ETC)",,
162,HANDS/FISTS,,
166,FEET,,
166,HANDS/FISTS,,
166,VERBAL THREAT (ASSAULT),,
171,FEET,,
171,HANDS/FISTS,,
171,"MOUTH (SPIT,BITE,ETC)",,
172,OTHER (SPECIFY),,VEHICLE ANTI-THEFT CLUB
172,VERBAL THREAT (ASSAULT),,
174,OTHER (SPECIFY),,VEHICLE
174,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
176,FEET,,
176,HANDS/FISTS,,
176,"MOUTH (SPIT,BITE,ETC)",,
181,FEET,,
181,"MOUTH (SPIT,BITE,ETC)",,
188,HANDS/FISTS,,
188,VERBAL THREAT (ASSAULT),,
189,HANDS/FISTS,,
191,HANDS/FISTS,,
196,KNIFE/OTHER CUTTING INSTRUMENT,,STEAK KNIFE
196,"MOUTH (SPIT,BITE,ETC)",,
198,FEET,,
198,HANDS/FISTS,,
202,"MOUTH (SPIT,BITE,ETC)",,
203,OTHER (SPECIFY),,GARBAGE CAN
204,FEET,,
204,HANDS/FISTS,,
204,"MOUTH (SPIT,BITE,ETC)",,
207,HANDS/FISTS,,
209,FEET,,
209,HANDS/FISTS,,
214,OTHER (SPECIFY),,DOOR
215,VERBAL THREAT (ASSAULT),,
216,HANDS/FISTS,,
216,VERBAL THREAT (ASSAULT),,
217,HANDS/FISTS,,
218,FEET,,
223,FEET,,
223,HANDS/FISTS,,
223,OTHER (SPECIFY),,ELBOW
224,FEET,,
224,HANDS/FISTS,,
224,OTHER (SPECIFY),,ELBOWS
229,FEET,,
229,HANDS/FISTS,,
229,VERBAL THREAT (ASSAULT),,
231,FEET,,
231,HANDS/FISTS,,
237,HANDS/FISTS,,
238,HANDS/FISTS,,
242,OTHER (SPECIFY),,WALKING CANE
245,FEET,,
248,HANDS/FISTS,,
251,FEET,,
251,HANDS/FISTS,,
252,HANDS/FISTS,,
255,FEET,,
257,FEET,,
258,FEET,,
258,HANDS/FISTS,,
260,OTHER (SPECIFY),,"BODY,ARMS"
261,HANDS/FISTS,,
262,FEET,,
262,HANDS/FISTS,,
263,HANDS/FISTS,,
264,FEET,,
264,HANDS/FISTS,,
271,HANDS/FISTS,,
273,FIREARM - SEMI-AUTOMATIC, 45 ACP,
274,FIREARM - SEMI-AUTOMATIC,45 CAL,
275,FIREARM - SEMI-AUTOMATIC, 45 ACP,
276,FIREARM - SEMI-AUTOMATIC,45 CAL,
283,OTHER (SPECIFY),,HEADBUTT
285,FEET,,
285,HANDS/FISTS,,
285,OTHER (SPECIFY),,OPEN HANDCUFF
285,VERBAL THREAT (ASSAULT),,
286,"MOUTH (SPIT,BITE,ETC)",,
287,"MOUTH (SPIT,BITE,ETC)",,
287,VERBAL THREAT (ASSAULT),,
288,"MOUTH (SPIT,BITE,ETC)",,
288,VERBAL THREAT (ASSAULT),,
294,HANDS/FISTS,,
294,VERBAL THREAT (ASSAULT),,
