trr_id,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_catdridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position
7,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
33,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
40,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
57,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
58,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
90,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
94,SEMI-AUTO PISTOL,,"BERETTA -US- (BANTAM,BRIGADIER 951,EMPIRE,PUMA)",92D,90, 9 MM,5.0,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,Yes,NONE,05-10FT,OBJECT,STANDING
102,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
111,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
150,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
187,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
210,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
233,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
248,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
263,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
304,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
318,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
319,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
322,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
335,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",4586TSW,4, 45 ACP,3.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,No,NONE,0-5FT,PERSON,STANDING
336,REVOLVER,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",36-3,"3""", 38 CAL,1.0,No,0.0,OTHER (SPECIFY),CROSS DRAW,DNA,Yes,NO,0-5FT,PERSON,STANDING
337,SEMI-AUTO PISTOL,,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",6906,3.5 INCHES, 9 MM,2.0,No,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,Yes,NONE,0-5FT,PERSON,STANDING
400,OTHER (SPECIFY),HANDS,,,,,,,,,,,,,,,
420,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
425,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
450,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
460,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
489,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
520,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
524,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
531,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
547,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
590,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
600,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
602,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
615,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
640,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
659,CHEMICAL WEAPON,,,,,,,,,,,,,,,,
