"","Community_ID","Count","Degree","Weighted.Degree","yearsOnForce","current_age","percentBlack","percentWhite","percentMale","percentFemale","WithinCommunityComplaints","internalComplaintsPerPerson","jaccardLabProp","percentFlagged","Index_Value","DetectedCrew","currentlyActive","NumberOfDocs2OrMoreListed","AvgNumberOfDocs","NumberOfDocRequests","link","numberOfDistinctSettlements","TotalPayouts","UseOfForce_2orMore","IllegalSearch_2orMore","FalseArrest_2orMore","OpsPersonnel_2orMore","CriminalMisconduct_2orMore","VerbalAbuse_2orMore","NumberOfSustained_2orMore","NumberOfNotSustained_2orMore","NumberOfNoAffidavit_2orMore","NumberOfExonerated_2orMore","NumberOfUnfounded_2orMore","noActionTaken_2orMore","PenaltyNotServed_2orMore","Resigned_2orMore","Reprimand_2orMore","AdministrativeTermination_2orMore","Reinstated_2orMore","Suspension_2orMore","blackComplainants_2orMore","whiteComplainants_2orMore","hispanicComplainants_2orMore","maleComplainants_2orMore","femaleComplainants_2orMore","totalTRRs","totalShotUnarmedVic","totalTRRsWithFirearm","totalTRRsWithTasers","totalIncidentsShotFirearmOrTaserFirst","totalBlackTRRVics","totalWhiteTRRVics","totalHispanicTRRVics","totalMaleTRRVics","totalFemaleTRRVics","averageTRRVicAge","AvgTRRsPerOfficer","AvgTRRsWithFirearmPerOfficer","AvgTRRsWithTaserPerOfficer","ToRead_ordered"
"1",108,3,23,138.642635686753,20.3333333333333,49.3333333333333,0,100,100,0,34,11.3333333333333,0.0298507462686567,100,1,"Yes",3,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=7265,11713,23174&title=C108",3,118000,8,16,2,5,0,1,1,0,15,0,4,32,0,0,0,0,0,0,117,15,38,85,85,20,0,1,0,3,11,1,8,19,1,26.9,6.66666666666667,0.333333333333333,0,""
"2",424,5,11.4,77.4016810966811,21.6,47.8,0,80,100,0,58,11.6,0.111111111111111,100,0.950940868368744,"Yes",4,0,0,2,"http://beta.cpdp.co/pinboard/?officer-ids=10436,13434,25031,28378,29033&title=C424",4,142500,27,10,2,11,2,4,1,0,0,7,11,58,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,29.1142857142857,7.2,0,0,""
"3",1319,3,19.3333333333333,131.456980519481,12.6666666666667,39.6666666666667,0,66.6666666666667,100,0,32,10.6666666666667,0.0265486725663717,100,0.946905057929693,"Yes",2,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=11847,15795,27797&title=C1319",1,175000,9,10,2,6,1,0,0,0,19,1,2,28,0,0,0,0,0,0,175,7,0,80,102,74,0,0,2,6,69,0,1,69,5,27.5675675675676,24.6666666666667,0,0.666666666666667,"1053203, 1053203, 1058318, 1058318"
"4",1134,5,18.2,99.3911111111111,29.4,54,0,100,100,0,52,10.4,0.103448275862069,100,0.943759896880625,"Yes",4,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=1924,11308,12491,19652,22044&title=C1134",1,19000,12,16,0,11,6,3,0,0,0,4,5,52,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,38.0833333333333,3,0,0,"1051577, 1056742, 1056742"
"5",219,3,17,97.128046028046,27.6666666666667,53.6666666666667,0,100,100,0,37,12.3333333333333,0.0769230769230769,100,0.938800202129321,"Yes",2,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=3277,16812,19578&title=C219",0,0,14,13,0,6,1,2,1,0,0,2,6,37,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20.8571428571429,3,0,0,"1050868, 1050868, 1050868"
"6",485,3,13.6666666666667,97.924751984127,13.3333333333333,47,100,0,66.6666666666667,33.3333333333333,37,12.3333333333333,0.0206185567010309,100,0.931609268216172,"Yes",1,0,0,4,"http://beta.cpdp.co/pinboard/?officer-ids=8658,13788,26167&title=C485",1,7e+05,15,5,3,3,4,1,5,0,0,0,9,32,1,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,1,0,0,"1049933, 1059847, 1059847, 1059847, 1051068, 1061572"
"7",253,3,24.6666666666667,153.204725829726,31,60,0,66.6666666666667,100,0,28,9.33333333333333,0.0857142857142857,66.6666666666667,0.886681261658056,"Yes",1,0,0,3,"http://beta.cpdp.co/pinboard/?officer-ids=5739,17816,25127&title=C253",0,0,6,10,2,4,2,2,2,0,0,4,5,26,0,0,1,0,0,0,0,0,0,0,0,15,0,0,1,2,11,3,1,11,4,30.2,5,0,0.333333333333333,"1054665, 1049560, 1049560, 1049560, 1050065, 1050065, 1050065"
"8",1097,13,6.15384615384615,38.7240499084249,24.5454545454545,56,84.6153846153846,0,76.9230769230769,7.69230769230769,93,7.15384615384615,0.526315789473684,84.6153846153846,0.868736308131125,"Yes",0,0,0,3,"http://beta.cpdp.co/pinboard/?officer-ids=1357,2369,7015,7391,8476,8915,10377,13134,14630,14634,30166,32083,32427&title=C1097",1,10000,34,18,0,22,5,7,10,0,0,1,10,89,3,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,26.8095238095238,1.92307692307692,0,0,"1060820, 1061411"
"9",1288,8,6.5,47.1731336805556,29.125,56,100,0,87.5,12.5,64,8,0.6,100,0.844179196858817,"Yes",3,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=372,678,8115,11620,12479,18341,20713,31054&title=C1288",1,15000,18,17,0,16,2,4,2,0,0,1,10,63,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,32.1875,2.625,0,0,"1052940, 1052940, 1052940, 1052940, 1052940, 1052940, 1052940, 1052940, 1052940, 1052940, 1062771, 1062771, 1062771"
"10",160,7,9.57142857142857,56.8044939187796,21.6666666666667,50.3333333333333,85.7142857142857,0,42.8571428571429,42.8571428571429,62,8.85714285714286,0.217391304347826,85.7142857142857,0.800614467136271,"Yes",0,0,0,0,"http://beta.cpdp.co/pinboard/?officer-ids=576,1930,4884,12478,18308,23180,32166&title=C160",0,0,10,29,7,4,2,2,0,0,1,11,12,60,0,0,0,0,0,0,2,0,0,2,0,21,0,0,0,0,0,0,0,0,0,25.3333333333333,3,0,0,"1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1073179, 1074635, 1074635, 1074635, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1057457, 1074105"
