"","Bribery / Official Corruption","Conduct Unbecoming (Off-Duty)","Criminal Misconduct","Domestic","Drug / Alcohol Abuse","False Arrest","First Amendment","Illegal Search","Lockup Procedures","Operation/Personnel Violations","Supervisory Responsibilities","Traffic","Use Of Force","Verbal Abuse"
"Bribery / Official Corruption",1,-0.0789861822273521,0.145491679958747,0.117085814536584,-0.133561810577917,0.794367589318187,0.0759514182763747,0.47565925861704,0.152559018555005,-0.228188113707488,0.155716970037301,-0.0775641033376803,0.200772127641484,0.221588953901792
"Conduct Unbecoming (Off-Duty)",-0.0789861822273521,1,0.388818658006099,-0.105933755173155,0.484485509521543,-0.316456071891316,-0.125836679956846,-0.344555042176948,-0.217286609870263,0.00937284209298723,-0.104496178236845,-0.367164748478256,-0.220625455994255,-0.179944786139421
"Criminal Misconduct",0.145491679958747,0.388818658006099,1,0.220575840880437,0.383979245454255,-0.145077135208911,-0.271115913267063,-0.362992762784966,-0.239961572108549,0.451875690511267,0.257758487725792,-0.431591462685216,-0.137507753232129,-0.0768708144176885
"Domestic",0.117085814536584,-0.105933755173155,0.220575840880437,1,-0.12407221903706,0.0795149693951459,-0.17330209296014,0.0158016564639859,-0.217229052086239,0.108971536260402,0.299830988085927,-0.015600670371183,0.826932971929227,0.881332108487163
"Drug / Alcohol Abuse",-0.133561810577917,0.484485509521543,0.383979245454255,-0.12407221903706,1,-0.221830961723392,-0.124773726010093,-0.258400350624468,-0.173639508050529,0.0114714879040215,-0.203295159195004,-0.170834066176287,-0.187972410343087,-0.185362134884385
"False Arrest",0.794367589318187,-0.316456071891316,-0.145077135208911,0.0795149693951459,-0.221830961723392,1,0.101964547617401,0.796370405424085,0.158397579310189,-0.181003884917145,-0.060171818878721,0.0654987297220811,0.308882857611734,0.313328496059929
"First Amendment",0.0759514182763747,-0.125836679956846,-0.271115913267063,-0.17330209296014,-0.124773726010093,0.101964547617401,1,0.0976493401890427,0.938955278050203,-0.0936083734256608,-0.110000015520759,-0.0744850353166291,-0.112626120565298,-0.110698166421745
"Illegal Search",0.47565925861704,-0.344555042176948,-0.362992762784966,0.0158016564639859,-0.258400350624468,0.796370405424085,0.0976493401890427,1,0.176475841352085,-0.300507806767915,-0.130431149571232,0.135492513528227,0.275786103563193,0.30577587574295
"Lockup Procedures",0.152559018555005,-0.217286609870263,-0.239961572108549,-0.217229052086239,-0.173639508050529,0.158397579310189,0.938955278050203,0.176475841352085,1,-0.170679327617116,-0.199462250586741,-0.0559413723426883,-0.108159450297287,-0.110775922305197
"Operation/Personnel Violations",-0.228188113707488,0.00937284209298723,0.451875690511267,0.108971536260402,0.0114714879040215,-0.181003884917145,-0.0936083734256608,-0.300507806767915,-0.170679327617116,1,0.545282599166226,-0.203513234313283,-0.208711350286366,-0.169643158023429
"Supervisory Responsibilities",0.155716970037301,-0.104496178236845,0.257758487725792,0.299830988085927,-0.203295159195004,-0.060171818878721,-0.110000015520759,-0.130431149571232,-0.199462250586741,0.545282599166226,1,-0.0659438041415217,-0.0448652339212672,0.0744461912525139
"Traffic",-0.0775641033376803,-0.367164748478256,-0.431591462685216,-0.015600670371183,-0.170834066176287,0.0654987297220811,-0.0744850353166291,0.135492513528227,-0.0559413723426883,-0.203513234313283,-0.0659438041415217,1,0.307643040534594,0.199401271704196
"Use Of Force",0.200772127641484,-0.220625455994255,-0.137507753232129,0.826932971929227,-0.187972410343087,0.308882857611734,-0.112626120565298,0.275786103563193,-0.108159450297287,-0.208711350286366,-0.0448652339212672,0.307643040534594,1,0.962579235075131
"Verbal Abuse",0.221588953901792,-0.179944786139421,-0.0768708144176885,0.881332108487163,-0.185362134884385,0.313328496059929,-0.110698166421745,0.30577587574295,-0.110775922305197,-0.169643158023429,0.0744461912525139,0.199401271704196,0.962579235075131,1
