"","CRID","Race","Gender","Victim"
"1","1016873","Black","Male","Black Male"
"2","1016951","Black","Male","Black Male"
"3","1018716","Black","Male","Black Male"
"4","1019916","Black","Male","Black Male"
"5","1020841","Black","Male","Black Male"
"6","1039771","Black","Male","Black Male"
"7","1041008","Black","Male","Black Male"
"8","1041486","Black","Male","Black Male"
"9","1041589","Black","Male","Black Male"
"10","1041844","Black","Male","Black Male"
"11","1057800","Black","Male","Black Male"
"12","1066866","Black","Male","Black Male"
"13","1067994","Black","Male","Black Male"
"14","1078570","Black","Male","Black Male"
"15","1078599","Black","Male","Black Male"
"16","1079914","Black","Male","Black Male"
"17","1000946","Black","Male","Black Male"
"18","1001336","Black","Male","Black Male"
"19","1002939","Black","Male","Black Male"
"20","1005843","Black","Male","Black Male"
"21","1009433","Black","Male","Black Male"
"22","1010927","Black","Male","Black Male"
"23","1015100","Black","Male","Black Male"
"24","1015178","Black","Male","Black Male"
"25","1022193","Black","Male","Black Male"
"26","1022957","Black","Male","Black Male"
"27","1027855","Black","Male","Black Male"
"28","1058816","Black","Male","Black Male"
"29","1063588","Black","Male","Black Male"
"30","1066899","Black","Male","Black Male"
"31","1080594","Black","Male","Black Male"
"32","1082745","Black","Male","Black Male"
"33","1000006","Black","Male","Black Male"
"34","1000010","Black","Male","Black Male"
"35","1000016","Black","Male","Black Male"
"36","1000020","Black","Male","Black Male"
"37","1000023","Black","Male","Black Male"
"38","1000033","Black","Male","Black Male"
"39","1000034","Black","Male","Black Male"
"40","1000036","Black","Male","Black Male"
"41","1000042","Black","Male","Black Male"
"42","1000065","Black","Male","Black Male"
"43","1000068","Black","Male","Black Male"
"44","1000082","Black","Male","Black Male"
"45","1000094","Black","Male","Black Male"
"46","1000096","Black","Male","Black Male"
"47","1000111","Black","Male","Black Male"
"48","1000116","Black","Male","Black Male"
"49","1000118","Black","Male","Black Male"
"50","1000136","Black","Male","Black Male"
"51","1000138","Black","Male","Black Male"
"52","1000141","Black","Male","Black Male"
"53","1000143","Black","Male","Black Male"
"54","1000161","Black","Male","Black Male"
"55","1000163","Black","Male","Black Male"
"56","1000166","Black","Male","Black Male"
"57","1000173","Black","Male","Black Male"
"58","1000183","Black","Male","Black Male"
"59","1000195","Black","Male","Black Male"
"60","1000200","Black","Male","Black Male"
"61","1000201","Black","Male","Black Male"
"62","1000205","Black","Male","Black Male"
"63","1000235","Black","Male","Black Male"
"64","1000248","Black","Male","Black Male"
"65","1000252","Black","Male","Black Male"
"66","1000265","Black","Male","Black Male"
"67","1000268","Black","Male","Black Male"
"68","1000269","Black","Male","Black Male"
"69","1000282","Black","Male","Black Male"
"70","1000296","Black","Male","Black Male"
"71","1000299","Black","Male","Black Male"
"72","1000301","Black","Male","Black Male"
"73","1000307","Black","Male","Black Male"
"74","1000329","Black","Male","Black Male"
"75","1000339","Black","Male","Black Male"
"76","1000345","Black","Male","Black Male"
"77","1000353","Black","Male","Black Male"
"78","1000361","Black","Male","Black Male"
"79","1000365","Black","Male","Black Male"
"80","1000384","Black","Male","Black Male"
"81","1000388","Black","Male","Black Male"
"82","1000398","Black","Male","Black Male"
"83","1000405","Black","Male","Black Male"
"84","1000407","Black","Male","Black Male"
"85","1000417","Black","Male","Black Male"
"86","1000424","Black","Male","Black Male"
"87","1000427","Black","Male","Black Male"
"88","1000431","Black","Male","Black Male"
"89","1000437","Black","Male","Black Male"
"90","1000447","Black","Male","Black Male"
"91","1000449","Black","Male","Black Male"
"92","1000472","Black","Male","Black Male"
"93","1000476","Black","Male","Black Male"
"94","1000484","Black","Male","Black Male"
"95","1000496","Black","Male","Black Male"
"96","1000499","Black","Male","Black Male"
"97","1000501","Black","Male","Black Male"
"98","1000502","Black","Male","Black Male"
"99","1000504","Black","Male","Black Male"
"100","1000506","Black","Male","Black Male"
"101","1000507","Black","Male","Black Male"
"102","1000515","Black","Male","Black Male"
"103","1000534","Black","Male","Black Male"
"104","1000556","Black","Male","Black Male"
"105","1000562","Black","Male","Black Male"
"106","1000565","Black","Male","Black Male"
"107","1000573","Black","Male","Black Male"
"108","1000591","Black","Male","Black Male"
"109","1000594","Black","Male","Black Male"
"110","1000596","Black","Male","Black Male"
"111","1000601","Black","Male","Black Male"
"112","1000630","Black","Male","Black Male"
"113","1000633","Black","Male","Black Male"
"114","1000634","Black","Male","Black Male"
"115","1000636","Black","Male","Black Male"
"116","1000640","Black","Male","Black Male"
"117","1000652","Black","Male","Black Male"
"118","1000654","Black","Male","Black Male"
"119","1000663","Black","Male","Black Male"
"120","1000683","Black","Male","Black Male"
"121","1000684","Black","Male","Black Male"
"122","1000696","Black","Male","Black Male"
"123","1000699","Black","Male","Black Male"
"124","1000712","Black","Male","Black Male"
"125","1000718","Black","Male","Black Male"
"126","1000744","Black","Male","Black Male"
"127","1000745","Black","Male","Black Male"
"128","1000771","Black","Male","Black Male"
"129","1000794","Black","Male","Black Male"
